subject;chapter;subchapter;question;options;correct_answer
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"How can you remove an event listener using a named function in JavaScript?";""A) element.removeEventListener('click', myFunction);"; "B) element.removeEvent('click', myFunction);"; "C) element.removeEventHandler('click', myFunction);"; "D) element.off('click', myFunction);"";"A) element.removeEventListener('click', myFunction);"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"Which property allows you to change the text content of an element?";""A) textContent"; "B) innerHTML"; "C) innerText"; "D) contentText"";"C) innerText"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"What property can be used to change both the HTML structure and text content of an element?";""A) textContent"; "B) innerHTML"; "C) innerText"; "D) contentText"";"B) innerHTML"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"Which method is used to create a new HTML element in JavaScript?";""A) createElement"; "B) createNode"; "C) appendChild"; "D) addElement"";"A) createElement"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"How would you add a new paragraph element with the text 'Hello' inside a div with the id 'container'?";""A) document.getElementById('container').appendChild('<p>Hello</p>');"; "B) var p = document.createElement('p'); p.innerText = 'Hello'; document.getElementById('container').appendChild(p);"; "C) document.getElementById('container').createNode('<p>Hello</p>');"; "D) document.getElementById('container').innerNode('<p>Hello</p>');"";"B) var p = document.createElement('p'); p.innerText = 'Hello'; document.getElementById('container').appendChild(p);"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"Which method is used to remove an element from the DOM?";""A) removeChild"; "B) deleteElement"; "C) removeNode"; "D) eraseElement"";"A) removeChild"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"What is the correct way to set the class attribute of an element using JavaScript?";""A) element.class = 'new-class';"; "B) element.className = 'new-class';"; "C) element.classname = 'new-class';"; "D) element.setClass('new-class');"";"B) element.className = 'new-class';"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"Which property allows you to get or set the HTML content, including tags, of an element?";""A) innerHTML"; "B) outerHTML"; "C) contentHTML"; "D) tagContent"";"A) innerHTML"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"How would you replace the content of an element with the id 'myElement' with the text 'New Content'?";""A) document.getElementById('myElement').innerHTML = 'New Content';"; "B) document.getElementById('myElement').innerText = 'New Content';"; "C) document.getElementById('myElement').replaceWith('New Content');"; "D) document.getElementById('myElement').textContent = 'New Content';"";"A) document.getElementById('myElement').innerHTML = 'New Content';"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"What does the appendChild method do?";""A) Adds a new child element to the beginning of the parent element."; "B) Adds a new child element to the end of the parent element."; "C) Removes a child element from the parent element."; "D) Replaces the parent element with the child element."";"B) Adds a new child element to the end of the parent element."
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"Which method can be used to insert a new element before an existing element?";""A) insertBefore"; "B) insertAfter"; "C) appendChild"; "D) addElementBefore"";"A) insertBefore"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"What is the correct way to create a new list item element in JavaScript?";""A) document.createElement('li');"; "B) document.createElement('list-item');"; "C) document.createNode('li');"; "D) document.createListItem();"";"A) document.createElement('li');"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"How would you remove all child elements from a parent element with the id 'myList'?";""A) document.getElementById('myList').clearChildren();"; "B) document.getElementById('myList').removeAllChildren();"; "C) while (document.getElementById('myList').firstChild) { document.getElementById('myList').removeChild(document.getElementById('myList').firstChild); }"; "D) document.getElementById('myList').empty();"";"C) while (document.getElementById('myList').firstChild) { document.getElementById('myList').removeChild(document.getElementById('myList').firstChild); }"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"Which property is used to get the HTML content, including tags, of an element?";""A) outerHTML"; "B) innerHTML"; "C) contentHTML"; "D) tagContent"";"A) outerHTML"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"What is the result of document.getElementById('myElement').outerHTML?";""A) The HTML content inside the element with id 'myElement'."; "B) The HTML content inside the element with id 'myElement' along with the element itself."; "C) The HTML content outside the element with id 'myElement'."; "D) The HTML content of the parent element of 'myElement'."";"B) The HTML content inside the element with id 'myElement' along with the element itself."
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"How would you add a new option to a select element with the id 'mySelect'?";""A) var option = document.createElement('option'); option.value = 'new'; option.text = 'New Option'; document.getElementById('mySelect').add(option);"; "B) document.getElementById('mySelect').addOption('New Option', 'new');"; "C) document.getElementById('mySelect').createOption('New Option', 'new');"; "D) var option = document.createOption('New Option', 'new'); document.getElementById('mySelect').appendChild(option);"";"A) var option = document.createElement('option'); option.value = 'new'; option.text = 'New Option'; document.getElementById('mySelect').add(option);"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"What is the purpose of the insertAdjacentHTML() method?";""A) To add a new child element to an existing parent element."; "B) To insert HTML content at a specified position relative to the element."; "C) To replace the content of an element with new HTML content."; "D) To append new HTML content to the end of a document."";"B) To insert HTML content at a specified position relative to the element."
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"Which property is used to get the text content of an element, without any HTML tags?";""A) innerText"; "B) textContent"; "C) contentText"; "D) tagText"";"B) textContent"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"How would you change the text content of all elements with the class 'myClass'?";""A) document.getElementsByClassName('myClass').innerText = 'New Text';"; "B) for (var i = 0; i < document.getElementsByClassName('myClass').length; i++) { document.getElementsByClassName('myClass')[i].innerText = 'New Text'; }"; "C) document.getElementsByClassName('myClass').textContent = 'New Text';"; "D) document.getElementsByClassName('myClass').innerHTML = 'New Text';"";"B) for (var i = 0; i < document.getElementsByClassName('myClass').length; i++) { document.getElementsByClassName('myClass')[i].innerText = 'New Text'; }"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"What is the correct way to remove the first child element from a parent element with the id 'myElement'?";""A) document.getElementById('myElement').removeFirst();"; "B) document.getElementById('myElement').firstChild.remove();"; "C) document.getElementById('myElement').removeChild(document.getElementById('myElement').firstChild);"; "D) document.getElementById('myElement').deleteFirst();"";"C) document.getElementById('myElement').removeChild(document.getElementById('myElement').firstChild);"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"How would you add a new div element with the class 'newDiv' inside the body of the document?";""A) document.createElement('div').className = 'newDiv'; document.body.appendChild(div);"; "B) var div = document.createElement('div'); div.className = 'newDiv'; document.body.appendChild(div);"; "C) document.createElement('div').class = 'newDiv'; document.body.append(div);"; "D) document.createElement('div').class = 'newDiv'; document.body.appendChild(div);"";"B) var div = document.createElement('div'); div.className = 'newDiv'; document.body.appendChild(div);"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"What is the result of document.createElement('span').tagName?";""A) 'div'"; "B) 'span'"; "C) 'element'"; "D) 'tag'"";"B) 'span'"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"How would you change the HTML content of an element with the id 'myElement' to '<strong>Bold Text</strong>'?";""A) document.getElementById('myElement').innerText = '<strong>Bold Text</strong>';"; "B) document.getElementById('myElement').innerHTML = '<strong>Bold Text</strong>';"; "C) document.getElementById('myElement').textContent = '<strong>Bold Text</strong>';"; "D) document.getElementById('myElement').innerHtml = '<strong>Bold Text</strong>';"";"B) document.getElementById('myElement').innerHTML = '<strong>Bold Text</strong>';"
"JavaScript";"DOM Manipulation and Events";"Modifying DOM Elements Changing Content (innerText, innerHTML) Adding and Removing Elements";"What is the purpose of the cloneNode() method?";""A) To create a copy of an element."; "B) To remove an element from the DOM."; "C) To replace an element with another element."; "D) To move an element to a different position in the DOM."";"A) To create a copy of an element."
